tipo_solicitacao,ticket_id,canal,prioridade,summary,predicted_category
Reclamação,TKT0001,Telefone,Baixa,O cliente fez uma reclamação por telefone. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.,Informação/Dúvida
Suporte técnico,TKT0002,E-mail,Baixa,"O chamado solicita suporte técnico por e-mail. A prioridade é baixa, indicando que a questão não é urgente. O motivo específico do suporte não foi detalhado no texto.",Solicitação de Serviço
Feedback,TKT0003,WhatsApp,Baixa,O usuário enviou um feedback através do WhatsApp. A prioridade do chamado é baixa. Não foram especificados detalhes adicionais sobre o feedback.,Informação/Dúvida
Reclamação,TKT0004,Chat,Baixa,O usuário registrou uma reclamação através do chat. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.,Informação/Dúvida
Reclamação,TKT0005,Portal,Baixa,O usuário registrou uma reclamação através do portal. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.,Informação/Dúvida
Feedback,TKT0006,Chat,Alta,"O usuário enviou um feedback através do chat, indicando que possui uma questão a ser discutida. A prioridade do chamado é alta, sugerindo que a situação é urgente. Não foram fornecidos detalhes específicos sobre o conteúdo do feedback.",Informação/Dúvida
Suporte técnico,TKT0007,Telefone,Média,O usuário solicitou suporte técnico por telefone. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre o problema.,Solicitação de Serviço
Reclamação,TKT0008,Telefone,Média,"O cliente fez uma reclamação por telefone, expressando insatisfação com um serviço ou produto. A prioridade do chamado foi classificada como média. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.",Solicitação de Serviço
Feedback,TKT0009,Telefone,Baixa,O chamado é um feedback recebido por telefone. A prioridade é baixa e não há solicitação específica. O cliente pode estar buscando uma forma de comunicação ou melhoria.,Informação/Dúvida
Suporte técnico,TKT0010,Telefone,Alta,"O usuário está solicitando suporte técnico por telefone. A prioridade do chamado é alta, indicando a urgência da situação. É necessário resolver a questão rapidamente para evitar maiores problemas.",Solicitação de Serviço
Dúvida,TKT0011,WhatsApp,Média,O usuário entrou em contato pelo WhatsApp para esclarecer uma dúvida. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre a dúvida em questão.,Informação/Dúvida
Feedback,TKT0012,Portal,Baixa,"O usuário enviou um feedback através do portal, indicando sua opinião sobre um serviço ou produto. A prioridade do chamado é baixa, sugerindo que não é uma questão urgente. O conteúdo específico do feedback não foi detalhado.",Informação/Dúvida
Dúvida,TKT0013,Portal,Média,O usuário está buscando esclarecimentos sobre um assunto específico. A dúvida foi registrada através do portal. A prioridade do chamado é média.,Informação/Dúvida
Feedback,TKT0014,E-mail,Média,"O chamado é um feedback enviado por e-mail, com prioridade média. O usuário não especifica detalhes sobre o conteúdo do feedback. É necessário avaliar o feedback para possíveis melhorias ou ajustes.",Informação/Dúvida
Suporte técnico,TKT0015,Portal,Média,O usuário está solicitando suporte técnico através do portal. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre o problema.,Solicitação de Serviço
Solicitação de serviço,TKT0016,E-mail,Alta,"O usuário solicitou um serviço específico por e-mail. A prioridade da solicitação é alta, indicando a necessidade de uma resposta rápida. Detalhes adicionais sobre o serviço solicitado não foram fornecidos.",Solicitação de Serviço
Reclamação,TKT0017,Portal,Média,"O usuário registrou uma reclamação através do portal, indicando insatisfação com um serviço ou produto. A prioridade do chamado foi classificada como média. Detalhes adicionais sobre a reclamação não foram fornecidos.",Solicitação de Serviço
Feedback,TKT0018,Chat,Média,O chamado é um feedback enviado pelo usuário através do chat. A prioridade do chamado é média. Não há solicitação específica ou dúvida apresentada.,Informação/Dúvida
Feedback,TKT0019,E-mail,Baixa,O chamado é um feedback enviado por e-mail. A prioridade é baixa. Não foram especificados detalhes adicionais sobre o conteúdo do feedback.,Informação/Dúvida
Feedback,TKT0020,Telefone,Baixa,O chamado é um feedback recebido por telefone. A prioridade é baixa e não há solicitação específica. O cliente parece estar compartilhando suas impressões sobre um serviço ou produto.,Informação/Dúvida
Reclamação,TKT0021,WhatsApp,Alta,"O usuário registrou uma reclamação através do WhatsApp, indicando que está enfrentando um problema que requer atenção imediata. A prioridade do chamado é alta, sugerindo que a situação é urgente. Detalhes adicionais sobre a natureza da reclamação não foram fornecidos.",Falha de Sistema
Dúvida,TKT0022,Telefone,Baixa,O usuário entrou em contato por telefone para esclarecer uma dúvida. A prioridade do chamado é baixa. Não foram fornecidos detalhes adicionais sobre a dúvida em questão.,Informação/Dúvida
Suporte técnico,TKT0023,E-mail,Média,O chamado solicita suporte técnico por e-mail. A prioridade do atendimento é média. O cliente busca assistência para resolver um problema técnico específico.,Solicitação de Serviço
Feedback,TKT0024,Telefone,Baixa,O chamado é um feedback recebido por telefone. A prioridade é baixa e não há solicitação específica. O cliente pode estar buscando compartilhar uma experiência ou opinião sobre o serviço.,Informação/Dúvida
Dúvida,TKT0025,WhatsApp,Alta,O usuário entrou em contato pelo WhatsApp com uma dúvida. A prioridade do chamado é alta. É necessário fornecer uma resposta rápida e clara para resolver a questão apresentada.,Informação/Dúvida
Solicitação de serviço,TKT0026,WhatsApp,Média,O usuário fez uma solicitação de serviço através do WhatsApp. A prioridade do chamado é média. A equipe deve avaliar e atender a solicitação conforme a demanda.,Solicitação de Serviço
Suporte técnico,TKT0027,Telefone,Baixa,O usuário entrou em contato por telefone solicitando suporte técnico. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre o problema.,Solicitação de Serviço
Solicitação de serviço,TKT0028,Telefone,Alta,"O usuário está solicitando um serviço específico por meio de contato telefônico. A prioridade da solicitação é alta, indicando a urgência do atendimento. É necessário proceder com a análise e execução do serviço solicitado.",Solicitação de Serviço
Suporte técnico,TKT0029,E-mail,Alta,"O usuário está solicitando suporte técnico para resolver um problema específico. A prioridade do chamado é alta, indicando a urgência da situação. O contato foi feito por e-mail.",Solicitação de Serviço
Solicitação de serviço,TKT0030,E-mail,Baixa,O usuário solicitou um serviço por e-mail. A prioridade da solicitação é baixa. Não foram fornecidos detalhes adicionais sobre o serviço requerido.,Solicitação de Serviço
Feedback,TKT0031,WhatsApp,Baixa,O usuário enviou um feedback através do WhatsApp. A prioridade do chamado é baixa. Não foram especificados detalhes adicionais sobre o feedback.,Informação/Dúvida
Suporte técnico,TKT0032,Chat,Baixa,O usuário solicitou suporte técnico através do chat. A prioridade do chamado é baixa. Não foram especificados detalhes adicionais sobre o problema.,Solicitação de Serviço
Feedback,TKT0033,E-mail,Alta,O chamado é um feedback enviado por e-mail com prioridade alta. O conteúdo específico do feedback não foi detalhado. É necessário avaliar a natureza do feedback para determinar a ação apropriada.,Informação/Dúvida
Suporte técnico,TKT0034,Portal,Baixa,O usuário está solicitando suporte técnico através do portal. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre o problema.,Solicitação de Serviço
Reclamação,TKT0035,Chat,Baixa,O usuário registrou uma reclamação através do chat. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.,Informação/Dúvida
Reclamação,TKT0036,WhatsApp,Média,O usuário registrou uma reclamação através do WhatsApp. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.,Informação/Dúvida
Suporte técnico,TKT0037,Portal,Baixa,O usuário solicitou suporte técnico através do portal. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre o problema.,Solicitação de Serviço
Reclamação,TKT0038,Telefone,Média,"O cliente fez uma reclamação por telefone, expressando insatisfação com um serviço ou produto. A prioridade do chamado foi classificada como média. Detalhes adicionais sobre a reclamação não foram fornecidos.",Solicitação de Serviço
Feedback,TKT0039,Chat,Alta,"O usuário enviou um feedback através do chat, indicando que possui uma questão a ser discutida. A prioridade do chamado é alta, sugerindo que a questão é urgente. Não foram fornecidos detalhes específicos sobre o conteúdo do feedback.",Informação/Dúvida
Dúvida,TKT0040,Chat,Baixa,O usuário entrou em contato pelo chat para esclarecer uma dúvida. A prioridade do chamado é baixa. Não foram fornecidos detalhes adicionais sobre a dúvida em questão.,Informação/Dúvida
Feedback,TKT0041,WhatsApp,Baixa,O usuário enviou um feedback através do WhatsApp. A prioridade do chamado é baixa. Não foram especificados detalhes adicionais sobre o feedback.,Informação/Dúvida
Reclamação,TKT0042,Telefone,Média,"O cliente fez uma reclamação por telefone, expressando insatisfação com um serviço ou produto. A prioridade do chamado foi classificada como média. Detalhes adicionais sobre a reclamação não foram fornecidos.",Solicitação de Serviço
Feedback,TKT0043,E-mail,Baixa,O chamado é um feedback enviado por e-mail. A prioridade é baixa. Não foram especificados detalhes adicionais sobre o conteúdo do feedback.,Informação/Dúvida
Dúvida,TKT0044,WhatsApp,Baixa,O usuário entrou em contato pelo WhatsApp para esclarecer uma dúvida. A prioridade do chamado é baixa. Não foram fornecidos detalhes adicionais sobre a dúvida em questão.,Informação/Dúvida
Suporte técnico,TKT0045,Chat,Média,O usuário está solicitando suporte técnico através do chat. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre o problema.,Solicitação de Serviço
Solicitação de serviço,TKT0046,E-mail,Baixa,O usuário solicitou um serviço por e-mail. A prioridade da solicitação é baixa. Não foram fornecidos detalhes adicionais sobre o serviço requerido.,Solicitação de Serviço
Solicitação de serviço,TKT0047,E-mail,Alta,"O usuário solicitou um serviço específico por e-mail, destacando a alta prioridade do pedido. Não foram fornecidos detalhes adicionais sobre o tipo de serviço requerido. A solicitação deve ser tratada com urgência devido à sua classificação de prioridade alta.",Solicitação de Serviço
Dúvida,TKT0048,E-mail,Média,O usuário entrou em contato por e-mail para esclarecer uma dúvida. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre a dúvida em questão.,Informação/Dúvida
Feedback,TKT0049,WhatsApp,Média,O usuário enviou um feedback através do WhatsApp. A prioridade do chamado é média. Não foram especificados detalhes sobre o conteúdo do feedback.,Informação/Dúvida
Feedback,TKT0050,Chat,Baixa,O usuário enviou um feedback através do chat. A prioridade do chamado é baixa. Não foram especificados detalhes adicionais sobre o feedback.,Informação/Dúvida
Suporte técnico,TKT0051,WhatsApp,Alta,"O usuário está solicitando suporte técnico através do WhatsApp. A prioridade do chamado é alta, indicando a necessidade de uma resposta rápida. Não foram fornecidos detalhes específicos sobre o problema.",Solicitação de Serviço
Feedback,TKT0052,Telefone,Média,O usuário entrou em contato por telefone para fornecer feedback sobre um serviço. Ele expressou sua opinião e sugestões de melhoria. A prioridade do chamado é média.,Informação/Dúvida
Reclamação,TKT0053,Portal,Média,"O usuário registrou uma reclamação através do portal, indicando insatisfação com um serviço ou produto. A prioridade do chamado foi classificada como média. Detalhes adicionais sobre a natureza da reclamação não foram fornecidos.",Solicitação de Serviço
Dúvida,TKT0054,Telefone,Média,O usuário entrou em contato por telefone para esclarecer uma dúvida. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre a dúvida em questão.,Informação/Dúvida
Feedback,TKT0055,E-mail,Média,"O usuário enviou um feedback por e-mail, expressando suas opiniões sobre um serviço ou produto. A prioridade do chamado é média. Não foram especificados detalhes adicionais sobre o conteúdo do feedback.",Informação/Dúvida
Solicitação de serviço,TKT0056,WhatsApp,Média,O usuário fez uma solicitação de serviço através do WhatsApp. A prioridade do chamado é média. A equipe deve avaliar e atender a solicitação conforme a demanda.,Solicitação de Serviço
Reclamação,TKT0057,Portal,Média,"O usuário registrou uma reclamação através do portal, indicando insatisfação com um serviço ou produto. A prioridade do chamado foi classificada como média. Detalhes adicionais sobre a natureza da reclamação não foram fornecidos.",Solicitação de Serviço
Dúvida,TKT0058,Telefone,Baixa,O usuário entrou em contato por telefone para esclarecer uma dúvida. A prioridade do chamado é baixa. Não foram fornecidos detalhes adicionais sobre a dúvida em questão.,Informação/Dúvida
Solicitação de serviço,TKT0059,Portal,Baixa,O usuário fez uma solicitação de serviço através do portal. A prioridade da solicitação é baixa. Não foram fornecidos detalhes adicionais sobre o serviço solicitado.,Solicitação de Serviço
Suporte técnico,TKT0060,E-mail,Média,O usuário está solicitando suporte técnico por e-mail. A prioridade do chamado é média. É necessário verificar a natureza específica do suporte requerido.,Solicitação de Serviço
Dúvida,TKT0061,E-mail,Média,O usuário entrou em contato por e-mail para esclarecer uma dúvida. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre a dúvida em questão.,Informação/Dúvida
Feedback,TKT0062,Portal,Média,O chamado é um feedback enviado através do portal. O usuário expressou suas opiniões ou sugestões sobre um serviço ou produto. A prioridade do chamado é média.,Informação/Dúvida
Dúvida,TKT0063,Chat,Média,O usuário está buscando esclarecimentos sobre um assunto específico. A dúvida foi registrada através do chat. A prioridade do chamado é média.,Informação/Dúvida
Reclamação,TKT0064,Telefone,Baixa,O cliente fez uma reclamação por telefone. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.,Informação/Dúvida
Solicitação de serviço,TKT0065,Telefone,Média,O usuário entrou em contato por telefone para solicitar um serviço. A prioridade da solicitação é média. Não foram fornecidos detalhes adicionais sobre o serviço requerido.,Solicitação de Serviço
Solicitação de serviço,TKT0066,E-mail,Baixa,O usuário solicitou um serviço por e-mail. A prioridade da solicitação é baixa. Não foram fornecidos detalhes adicionais sobre o serviço requerido.,Solicitação de Serviço
Solicitação de serviço,TKT0067,E-mail,Alta,"O usuário solicitou um serviço específico por e-mail, destacando a alta prioridade do pedido. Não foram fornecidos detalhes adicionais sobre o tipo de serviço requerido. A solicitação deve ser tratada com urgência devido à sua classificação de prioridade alta.",Solicitação de Serviço
Feedback,TKT0068,Telefone,Média,O usuário entrou em contato por telefone para fornecer feedback sobre um serviço. A prioridade do chamado foi classificada como média. Não foram especificados detalhes sobre o conteúdo do feedback.,Informação/Dúvida
Solicitação de serviço,TKT0069,Telefone,Alta,"O usuário está solicitando um serviço específico por meio de contato telefônico. A prioridade da solicitação é alta, indicando a necessidade de uma resposta rápida. Detalhes adicionais sobre o serviço solicitado não foram fornecidos.",Solicitação de Serviço
Suporte técnico,TKT0070,WhatsApp,Baixa,O usuário solicitou suporte técnico através do WhatsApp. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre o problema.,Solicitação de Serviço
Dúvida,TKT0071,WhatsApp,Média,O usuário entrou em contato pelo WhatsApp para esclarecer uma dúvida. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre a dúvida em questão.,Informação/Dúvida
Suporte técnico,TKT0072,Portal,Baixa,O usuário solicitou suporte técnico através do portal. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre o problema.,Solicitação de Serviço
Dúvida,TKT0073,Telefone,Alta,O usuário entrou em contato por telefone para esclarecer uma dúvida. A solicitação foi classificada como de alta prioridade. É necessário fornecer informações adicionais para resolver a questão apresentada.,Informação/Dúvida
Feedback,TKT0074,Telefone,Média,O usuário entrou em contato por telefone para fornecer feedback sobre um serviço. Ele expressou sua opinião e sugestões de melhoria. A prioridade do chamado é média.,Informação/Dúvida
Dúvida,TKT0075,Chat,Baixa,O usuário entrou em contato pelo chat para esclarecer uma dúvida. A prioridade do chamado é baixa. Não foram fornecidos detalhes adicionais sobre a dúvida em questão.,Informação/Dúvida
Dúvida,TKT0076,E-mail,Média,O usuário entrou em contato por e-mail para esclarecer uma dúvida. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre a dúvida em questão.,Informação/Dúvida
Feedback,TKT0077,E-mail,Média,"O chamado é um feedback enviado por e-mail, com prioridade média. O usuário não especifica detalhes sobre o conteúdo do feedback. É necessário avaliar o feedback para possíveis melhorias ou ajustes.",Informação/Dúvida
Suporte técnico,TKT0078,WhatsApp,Alta,"O usuário está solicitando suporte técnico através do WhatsApp. A prioridade do chamado é alta, indicando a urgência da situação. É necessário investigar a natureza do problema para fornecer a assistência adequada.",Solicitação de Serviço
Solicitação de serviço,TKT0079,Telefone,Média,O usuário fez uma solicitação de serviço por telefone. A prioridade do chamado é média. A equipe deve avaliar e atender a solicitação conforme os procedimentos internos.,Solicitação de Serviço
Solicitação de serviço,TKT0080,Portal,Baixa,O usuário fez uma solicitação de serviço através do portal. A prioridade da solicitação é baixa. Não foram fornecidos detalhes adicionais sobre o serviço solicitado.,Solicitação de Serviço
Feedback,TKT0081,Portal,Média,O chamado é um feedback enviado através do portal. A prioridade do ticket é média. Não foram especificados detalhes adicionais sobre o conteúdo do feedback.,Informação/Dúvida
Dúvida,TKT0082,Chat,Média,O usuário está buscando esclarecimentos sobre um assunto específico. A dúvida foi registrada através do canal de chat. A prioridade do chamado é média.,Informação/Dúvida
Suporte técnico,TKT0083,Portal,Alta,"O usuário solicita suporte técnico através do portal. A prioridade do chamado é alta, indicando a urgência da situação. É necessário investigar a natureza do problema para fornecer a assistência adequada.",Solicitação de Serviço
Solicitação de serviço,TKT0084,WhatsApp,Média,O usuário fez uma solicitação de serviço através do WhatsApp. A prioridade do chamado é média. A solicitação requer atenção para ser atendida adequadamente.,Solicitação de Serviço
Reclamação,TKT0085,Portal,Média,"O usuário registrou uma reclamação através do portal, indicando insatisfação com um serviço ou produto. A prioridade do chamado foi classificada como média. Detalhes adicionais sobre a natureza da reclamação não foram fornecidos.",Solicitação de Serviço
Reclamação,TKT0086,Chat,Média,"O usuário registrou uma reclamação através do chat, indicando insatisfação com um serviço ou produto. A prioridade do chamado é média, sugerindo que a questão não é urgente, mas requer atenção. Detalhes adicionais sobre a reclamação não foram fornecidos.",Solicitação de Serviço
Reclamação,TKT0087,E-mail,Média,"O usuário registrou uma reclamação através do e-mail, expressando insatisfação com um serviço ou produto. A reclamação foi classificada com prioridade média. Detalhes adicionais sobre a natureza da reclamação não foram fornecidos.",Solicitação de Serviço
Reclamação,TKT0088,Portal,Alta,"O usuário registrou uma reclamação através do portal, indicando um problema que requer atenção imediata. A prioridade do chamado é alta, sugerindo que a situação é crítica. Detalhes adicionais sobre a natureza da reclamação não foram fornecidos.",Falha de Sistema
Dúvida,TKT0089,Chat,Baixa,O usuário entrou em contato pelo chat para esclarecer uma dúvida. A prioridade do chamado é baixa. Não foram fornecidos detalhes adicionais sobre a dúvida em questão.,Informação/Dúvida
Feedback,TKT0090,Chat,Média,O chamado é um feedback enviado pelo usuário através do chat. A prioridade do chamado é média. Não há solicitação específica ou dúvida apresentada no texto.,Informação/Dúvida
Solicitação de serviço,TKT0091,WhatsApp,Média,O usuário fez uma solicitação de serviço através do WhatsApp. A prioridade do chamado é média. A equipe deve avaliar e atender a solicitação conforme a demanda.,Solicitação de Serviço
Solicitação de serviço,TKT0092,WhatsApp,Baixa,O usuário fez uma solicitação de serviço através do WhatsApp. A prioridade da solicitação é baixa. Não foram fornecidos detalhes adicionais sobre o serviço solicitado.,Solicitação de Serviço
Suporte técnico,TKT0093,Telefone,Baixa,O usuário solicitou suporte técnico por telefone. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre o problema.,Solicitação de Serviço
Solicitação de serviço,TKT0094,WhatsApp,Alta,O usuário solicitou um serviço através do WhatsApp. A prioridade da solicitação é alta. É necessário atender a demanda o mais rápido possível.,Solicitação de Serviço
Feedback,TKT0095,E-mail,Alta,"O chamado é um feedback enviado por e-mail com prioridade alta. O conteúdo do feedback não foi especificado, mas requer atenção imediata. É importante avaliar a natureza do feedback para possíveis ações.",Informação/Dúvida
Dúvida,TKT0096,Telefone,Média,O usuário entrou em contato por telefone para esclarecer uma dúvida. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre a dúvida.,Informação/Dúvida
Reclamação,TKT0097,E-mail,Baixa,O usuário registrou uma reclamação através do e-mail. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.,Informação/Dúvida
Reclamação,TKT0098,Portal,Média,"O usuário registrou uma reclamação através do portal, indicando insatisfação com um serviço ou produto. A prioridade do chamado foi classificada como média. Detalhes adicionais sobre a natureza da reclamação não foram fornecidos.",Solicitação de Serviço
Reclamação,TKT0099,Telefone,Baixa,O cliente fez uma reclamação por telefone. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.,Informação/Dúvida
Suporte técnico,TKT0100,WhatsApp,Média,O usuário está solicitando suporte técnico através do WhatsApp. A prioridade do chamado é média. É necessário verificar a natureza específica do suporte requerido.,Solicitação de Serviço
